date,equity,invested_frac
1994-01-03,100000.0,0.0
1994-01-04,100000.0,0.0
1994-01-05,100000.0,0.0
1994-01-06,100000.0,0.0
1994-01-07,99827.67682307331,0.19875927653048694
1994-01-10,100198.70672327769,0.2009063935575374
1994-01-11,100308.18977808036,0.20177857766633409
1994-01-12,100831.92966858717,0.4015105218493543
1994-01-13,101452.40083870306,0.10011249542207225
1994-01-14,101647.522726406,0.0
1994-01-17,101647.522726406,0.0
1994-01-18,101647.522726406,0.0
1994-01-19,101776.41534210189,0.20115296599260246
1994-01-20,102117.40786773329,0.10204175526983991
1994-01-21,101504.45260053154,0.0966192519043895
1994-01-24,100949.12243261255,0.39351115557277105
1994-01-25,101735.0360086728,0.5957777488877434
1994-01-26,101375.36937253556,0.38282284711351655
1994-01-27,101252.7202007669,0.1804852805756498
1994-01-28,101774.0066903496,0.0
1994-01-31,101774.0066903496,0.0
1994-02-01,101774.0066903496,0.0
1994-02-02,101774.0066903496,0.0
1994-02-03,101774.0066903496,0.0
1994-02-04,100492.95738620739,0.29128932022439696
1994-02-07,99852.70828926734,0.08251001201469568
1994-02-08,100332.55955622441,0.0
1994-02-09,100332.55955622441,0.0
1994-02-10,100332.55955622441,0.0
1994-02-11,100202.12992664905,0.09889859239988541
1994-02-14,100544.70759817808,0.0
1994-02-15,100544.70759817808,0.0
1994-02-16,100846.43957757072,0.10276258549287663
1994-02-17,100431.88355609555,0.1995420910790868
1994-02-18,100933.3610514617,0.3038975075597894
1994-02-22,101206.81424988619,0.09777763414010882
1994-02-23,101366.55311428523,0.0
1994-02-24,101413.11233650644,0.10048316196582642
1994-02-25,101377.16749008938,0.20026970569531513
1994-02-28,101465.79250211547,0.10043099197352909
1994-03-01,101601.03602063554,0.0
1994-03-02,101775.82054645912,0.4013099280837442
1994-03-03,102247.57201920613,0.2889007229066982
1994-03-04,102731.10908826962,0.09129227995657337
1994-03-07,102633.41578440362,0.0904273115762355
1994-03-08,101900.71600540866,0.08388718375463533
1994-03-09,101705.32939767666,0.08212723492475552
1994-03-10,101931.197048418,0.0987437702650097
1994-03-11,101826.35256191606,0.0978158007931013
1994-03-14,102065.95504893764,0.0
1994-03-15,102065.95504893764,0.0
1994-03-16,101168.41847108345,0.19304387634785808
1994-03-17,101175.49744455042,0.09311245673412914
1994-03-18,101249.25294973832,0.19377018685325959
1994-03-21,101741.99724613709,0.19329650682160351
1994-03-22,101571.53239303672,0.1974768477838272
1994-03-23,101577.70486842933,0.09486824801724546
1994-03-24,101301.24772677214,0.09239808952866262
1994-03-25,101648.96090217128,0.594141186454795
1994-03-28,100684.61682423289,0.4851423848976812
1994-03-29,98033.44831719408,0.7795475600441375
1994-03-30,98852.16695550599,0.6814438083855228
1994-03-31,99455.20880804502,0.3684726609611647
1994-04-04,98749.7630682334,0.46474605118644047
1994-04-05,99778.16002693215,0.08470474192975305
1994-04-06,99918.48377018336,0.0
1994-04-07,99918.48377018336,0.0
1994-04-08,99918.48377018336,0.0
1994-04-11,99918.48377018336,0.0
1994-04-12,99061.4191759736,0.19321973081723337
1994-04-13,97710.69563297524,0.689333730078612
1994-04-14,99238.17439304461,0.2863042182211162
1994-04-15,99254.8089883172,0.19730335529130655
1994-04-18,98427.6066354922,0.19055735611683977
1994-04-19,98284.993828757,0.29567045968702355
1994-04-20,98540.87208789933,0.3937654201007573
1994-04-21,99393.7625342758,0.09693875124724406
1994-04-22,99853.15009758035,0.0
1994-04-25,99853.15009758035,0.0
1994-04-26,100062.1044660727,0.10194927593408827
1994-04-28,100461.59312088412,0.0
1994-04-29,100461.59312088412,0.0
1994-05-02,100461.59312088412,0.0
1994-05-03,100461.59312088412,0.0
1994-05-04,100350.50554800373,0.09907378140681691
1994-05-05,100581.97083460972,0.0
1994-05-06,100581.97083460972,0.0
1994-05-09,100518.07431740525,0.09949793976985427
1994-05-10,100752.4820280809,0.0
1994-05-11,99981.33167033202,0.1939707250479235
1994-05-12,99788.50694805865,0.09295048656786316
1994-05-13,100182.78166126704,0.0
1994-05-16,99354.51374712941,0.19347197507776764
1994-05-17,99224.72643920447,0.793622382944271
1994-05-18,102487.22891140418,0.0
1994-05-19,102487.22891140418,0.0
1994-05-20,102487.22891140418,0.0
1994-05-23,102487.22891140418,0.0
1994-05-24,102487.22891140418,0.0
1994-05-25,102480.05480538038,0.1000070004900343
1994-05-26,102264.8784759051,0.19839387625948077
1994-05-27,102688.49774718753,0.10202564294190358
1994-05-31,102453.78194258602,0.09996843461116049
1994-06-01,102453.78194258602,0.09996843461116049
1994-06-02,102486.57909679165,0.2002944336214686
1994-06-03,102615.9523938012,0.09689931012653827
1994-06-06,102318.17639463035,0.19463225453712227
1994-06-07,102595.28321329693,0.0953481266585097
1994-06-08,102066.19880330333,0.291836121849761
1994-06-09,100952.87544307779,0.48637355878640426
1994-06-10,101689.68842923769,0.19877858892974368
1994-06-13,101645.94805284502,0.19843380660673485
1994-06-14,101847.80914777229,0.20002250086347917
1994-06-15,102015.72414478647,0.09903374659765483
1994-06-16,102119.34465118576,0.09994795712010887
1994-06-17,101812.71636570682,0.29798003939278445
1994-06-20,100926.67463006602,0.39276548216526985
1994-06-21,100127.82839589957,0.28665452811145575
1994-06-22,100405.55351802747,0.09184975079970287
1994-06-23,100029.28597674443,0.09985491324282025
1994-06-24,99837.72743925049,0.09812780585792434
1994-06-27,100022.97159596461,0.0
1994-06-28,100022.97159596461,0.0
1994-06-29,100022.97159596461,0.0
1994-06-30,100022.97159596461,0.0
1994-07-01,100022.97159596461,0.0
1994-07-05,100022.97159596461,0.0
1994-07-06,100022.97159596461,0.0
1994-07-07,100022.97159596461,0.0
1994-07-08,100425.8297806543,0.10368006891294441
1994-07-11,100425.8297806543,0.10368006891294441
1994-07-12,100425.8297806543,0.10368006891294441
1994-07-13,100425.8297806543,0.10368006891294441
1994-07-14,100628.60910569965,0.0
1994-07-15,100628.60910569965,0.0
1994-07-18,100628.60910569965,0.0
1994-07-19,100628.60910569965,0.0
1994-07-20,100609.13383443991,0.09989579731882373
1994-07-21,100814.86458854658,0.0
1994-07-22,100814.86458854658,0.0
1994-07-25,100814.86458854658,0.0
1994-07-26,100814.86458854658,0.0
1994-07-27,100814.86458854658,0.0
1994-07-28,100814.86458854658,0.0
1994-07-29,100814.86458854658,0.0
1994-08-01,100814.86458854658,0.0
1994-08-02,100814.86458854658,0.0
1994-08-03,100814.86458854658,0.0
1994-08-04,100814.86458854658,0.0
1994-08-05,100814.86458854658,0.0
1994-08-08,100814.86458854658,0.0
1994-08-09,100814.86458854658,0.0
1994-08-10,100814.86458854658,0.0
1994-08-11,100814.86458854658,0.0
1994-08-12,100814.86458854658,0.0
1994-08-15,100814.86458854658,0.0
1994-08-16,100814.86458854658,0.0
1994-08-17,100814.86458854658,0.0
1994-08-18,100814.86458854658,0.0
1994-08-19,100955.81045865611,0.10132640531546828
1994-08-22,100550.6821667953,0.0977055636611967
1994-08-23,100601.3232032779,0.09815976370562705
1994-08-24,100550.6821667953,0.0977055636611967
1994-08-25,100765.60075296878,0.0
1994-08-26,100765.60075296878,0.0
1994-08-29,101042.69459219916,0.10253791774254456
1994-08-30,101161.78285728402,0.10359441555561962
1994-08-31,101002.99850383753,0.10218519817336123
1994-09-01,100730.74982506964,0.20009910414379803
1994-09-02,101241.79558542941,0.0
1994-09-06,101241.79558542941,0.0
1994-09-07,101241.79558542941,0.0
1994-09-08,101241.79558542941,0.0
1994-09-09,101215.77543703008,0.09983864958008871
1994-09-12,100873.22471378146,0.09678183323956106
1994-09-13,100644.85756494902,0.09473239561793577
1994-09-14,100873.22471378146,0.09678183323956106
1994-09-15,101099.60363202762,0.0
1994-09-16,101099.60363202762,0.0
1994-09-19,100862.91489327837,0.09795819015504376
1994-09-20,100862.91489327837,0.09795819015504376
1994-09-21,100745.81867610538,0.3974686849127091
1994-09-22,101024.7617408962,0.19500640569010846
1994-09-23,101522.66444886706,0.0
1994-09-26,101522.66444886706,0.0
1994-09-27,101522.66444886706,0.0
1994-09-28,101522.66444886706,0.0
1994-09-29,101589.0781017628,0.10065832740455218
1994-09-30,101701.7589467688,0.10165475638146103
1994-10-03,101928.45743906843,0.0
1994-10-04,101623.58209194866,0.1977403837876272
1994-10-05,102176.05042624677,0.3012575799301878
1994-10-06,102017.06651067303,0.30016865618713395
1994-10-07,102681.83434714325,0.0
1994-10-10,102681.83434714325,0.0
1994-10-11,102884.2013827127,0.10184010817863652
1994-10-12,102465.09185476518,0.09816639490254635
1994-10-13,102107.31220529541,0.19542704956386356
1994-10-14,102203.64795493479,0.19618542893554708
1994-10-17,101573.56096218254,0.29188991987740937
1994-10-18,101840.98172726021,0.1983360706465486
1994-10-19,102243.65247238464,0.09733113698628294
1994-10-20,102061.89624119739,0.19597183428009174
1994-10-21,102350.71461278982,0.39781591614514755
1994-10-24,102592.21972203322,0.1977618776895045
1994-10-25,102874.90131533732,0.10119833853702756
1994-10-26,103088.06741027001,0.0
1994-10-27,103088.06741027001,0.0
1994-10-28,103088.06741027001,0.0
1994-10-31,103088.06741027001,0.0
1994-11-01,103088.06741027001,0.0
1994-11-02,103088.06741027001,0.0
1994-11-03,103088.06741027001,0.0
1994-11-04,103088.06741027001,0.0
1994-11-07,103209.49553326755,0.3010333175228054
1994-11-08,103487.42027133543,0.09931111661930209
1994-11-09,103697.58599296046,0.0
1994-11-10,103687.85531185569,0.09998554525049938
1994-11-11,103532.34601061753,0.09863369122269644
1994-11-14,103732.39835937368,0.0
1994-11-15,103732.39835937368,0.0
1994-11-16,103732.39835937368,0.0
1994-11-17,103732.39835937368,0.0
1994-11-18,103668.3821315839,0.09951428452831715
1994-11-21,103500.63385387447,0.09805482556417602
1994-11-22,102317.08402233332,0.39143210425729874
1994-11-23,102925.29404494789,0.19780145324586068
1994-11-25,103408.04294181518,0.0
1994-11-28,103408.04294181518,0.0
1994-11-29,103408.04294181518,0.0
1994-11-30,103408.04294181518,0.0
1994-12-01,103078.41513081983,0.29797218672392606
1994-12-02,103567.0734116106,0.19957324080771818
1994-12-05,103580.62736696239,0.09689230927601651
1994-12-06,103580.62736696239,0.09689230927601651
1994-12-07,103664.9857987031,0.09844504288717576
1994-12-08,103024.28317701656,0.29290951377320174
1994-12-09,103526.72559599356,0.09442440954271276
1994-12-12,103647.29939566429,0.0
1994-12-13,103647.29939566429,0.0
1994-12-14,103647.29939566429,0.0
1994-12-15,103940.53128357796,0.10260883802238992
1994-12-16,104416.63158150438,0.0
1994-12-19,104416.63158150438,0.0
1994-12-20,104416.63158150438,0.0
1994-12-21,104416.63158150438,0.0
1994-12-22,105106.16578906402,0.30480087380350773
1994-12-23,105412.99697541076,0.2034221013191632
1994-12-27,104816.87213112059,0.19548099887637088
1994-12-28,104984.38531505516,0.10112485599651758
1994-12-29,104748.46240734697,0.09910033713708817
