symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
CI,2025-05-16,2025-07-29,312.47882,281.230938,32.002169,49,-0.10125911861696824,-1013.3000000000011,stop
CVS,2025-05-16,2025-08-20,60.323677,69.372229,165.772388,65,0.14839112621165174,1484.949999999999,target
EXC,2025-05-16,2026-02-27,42.554565,48.93775,234.992415,196,0.14839112621165174,1484.949999999999,target
AEP,2025-05-23,2025-10-07,99.72199,114.680289,99.70962,93,0.14839112621165196,1476.5216850238248,target
CMS,2025-05-23,2026-03-02,67.5899,77.728385,147.111355,192,0.14839112621165174,1476.5216850238212,target
GL,2025-05-23,2025-07-25,118.18397,135.911565,84.133591,42,0.14839112621165196,1476.5216850238248,target
PPL,2025-05-23,2026-02-27,33.3343,38.334445,298.288602,191,0.14839112621165174,1476.521685023823,target
VTR,2025-05-23,2025-10-30,62.040993,71.347142,160.268901,110,0.14839112621165196,1476.521685023823,target
CNP,2025-06-06,2026-02-12,35.804043,41.174649,276.976619,172,0.14839112621165174,1472.6075061122774,target
COR,2025-07-25,2025-10-24,288.18433,331.411979,35.723406,64,0.14839112621165174,1528.7449956163819,target
MCK,2025-08-01,2025-10-24,695.9673,800.362395,14.91567,59,0.14839112621165174,1541.499606810312,target
CME,2025-08-22,2026-02-09,259.42703,298.341084,40.675931,116,0.14839112621165174,1566.9839758393227,target
SYY,2025-10-10,2026-02-12,76.7835,88.301025,142.265808,85,0.14839112621165174,1622.1098774262991,target
HIG,2025-10-24,2026-02-05,123.44613,141.963049,89.699047,70,0.14839112621165174,1644.2851664479476,target
MSI,2025-10-24,2025-11-03,435.06662,391.559958,25.451275,6,-0.10125911861696801,-1122.027111459447,stop
DTE,2025-10-31,2026-02-17,132.22499,152.058738,81.77235,72,0.14839112621165151,1605.5796348732692,target
VMC,2025-11-07,2026-02-10,285.69965,328.554597,38.302873,63,0.14839112621165174,1624.9982114413433,target
AIZ,2026-02-13,2026-05-14,215.85934,248.238241,55.704932,62,0.14839112621165196,1785.5677085355692,target
AXP,2026-02-13,2026-03-02,335.51794,301.4194,35.838411,10,-0.10288639700046143,-1238.016267021023,stop_gap
MS,2026-02-13,2026-03-12,170.23515,153.211635,70.634236,18,-0.1012591186169679,-1218.435475308319,stop
ROK,2026-02-13,2026-03-17,391.7967,352.61703,30.690483,21,-0.1012591186169679,-1218.435475308319,stop
MDT,2026-02-20,2026-03-13,95.21648,85.694832,127.619278,15,-0.10125911861696824,-1231.307282782871,stop
GS,2026-02-27,2026-05-21,851.3181,979.015815,14.301808,58,0.14839112621165174,1807.9842734504127,target
IVZ,2026-02-27,2026-03-06,26.056398,23.450758,467.27058,5,-0.10125911861696812,-1233.7320881425676,stop
HLT,2026-03-06,2026-04-17,298.50122,343.276403,39.152834,29,0.14839112621165174,1735.4861004573613,target
NTRS,2026-03-06,2026-04-17,137.94934,158.641741,84.720729,29,0.14839112621165174,1735.4861004573613,target
STT,2026-03-06,2026-04-09,119.64113,137.5873,97.685207,23,0.14839112621165174,1735.4861004573613,target
GL,2026-03-13,2026-06-05,137.88208,158.564392,83.252602,58,0.14839112621165196,1704.5803386467396,target
SNA,2026-05-15,2026-07-02,357.21204,410.793846,35.758729,32,0.14839112621165196,1896.7932325977,target
